parameters,EncTimeMean,EncTimeStdev,,CompTimeMean,CompTimestdev,,DecTimeMean,DecTimeStdev
"(2, 2, 5)",0.11863844394683838,0.009215868714632234,,0.8387368679046631,0.05368064226403999,,0.051418089866638185,0.007052769461836583
"(2, 2, 6)",0.13643288612365723,0.01743769625353382,,0.871803617477417,0.0815502888875153,,0.04778397083282471,0.0032459613734395856
"(2, 2, 7)",0.158597993850708,0.008789568436343582,,1.0364050388336181,0.05628377699389666,,0.05196447372436523,0.008242631753126308
"(2, 4, 9)",0.18028008937835693,0.007080410584411289,,0.6100276470184326,0.03206861451344295,,0.05642664432525635,0.002023386959147457
"(2, 4, 11)",0.22008223533630372,0.006077781136235871,,0.7049306154251098,0.011908061553492036,,0.06811578273773193,0.004991445623764853
"(2, 4, 13)",0.2642300844192505,0.007814498893713584,,0.8419977188110351,0.01605199736700088,,0.06278917789459229,0.005816791908640399
"(2, 4, 15)",0.29374878406524657,0.004982216379276676,,0.9565655708312988,0.009618475761329227,,0.06459898948669433,0.004551830204693672
"(4, 4, 17)",0.22492024898529053,0.015472193402530398,,0.5450207233428955,0.0166621008078457,,0.07071776390075683,0.0022219348065677285
"(4, 4, 21)",0.27534439563751223,0.00998516561310197,,0.674646520614624,0.01178169700699308,,0.07949917316436768,0.00363841377346313
"(4, 4, 25)",0.3298348903656006,0.0068903571250513015,,0.8208572387695312,0.05539043718775546,,0.08466150760650634,0.00597397681054559
"(4, 4, 29)",0.3745509147644043,0.007518852508230361,,0.9256757736206055,0.021927381610910384,,0.08915233612060547,0.007198733266805687
"(4, 8, 33)",0.3961270570755005,0.020859162801063615,,0.5452798128128051,0.019073284227919762,,0.09184482097625732,0.00501015528923681
"(4, 8, 41)",0.45140538215637205,0.022285066320220166,,0.6711047410964965,0.022396694626734576,,0.13888280391693114,0.01078088063966409
"(4, 8, 49)",0.6247608900070191,0.04049830138296032,,0.8037810325622559,0.023034631094444574,,0.1603788375854492,0.010040614251672705
"(4, 8, 57)",0.6155344009399414,0.051182537938541606,,0.9384160041809082,0.03125928747481111,,0.1695079803466797,0.016743526221738386
"(8, 8, 65)",0.519643497467041,0.015298222358722417,,0.5332860708236694,0.021316877787025606,,0.11535038948059081,0.003265254365718005
"(8, 8, 81)",0.6533090591430664,0.02388441163554868,,0.6620388269424439,0.021230405931394625,,0.33450610637664796,0.03390162165468967
"(8, 8, 97)",0.7829183101654053,0.01696789803408157,,0.7996215105056763,0.026653873496857914,,0.46567659378051757,0.036555728654248436
"(8, 8, 113)",0.9166010856628418,0.038490462752441744,,0.9666241645812989,0.04794011780411271,,0.584351921081543,0.05687521635908683
